group,variable,value,,,
1.75,4.75,59.2,,,
1.75,5,45.1,,,
1.75,5.25,59.6,,,
1.75,5.5,0.0,,,
2.0,0.75,42.0,,,
2.0,1.0,0.0,,,
2.0,1.25,59.0,,,
2.0,1.5,55.2,,,
2.0,1.75,46.0,,,
2.0,2,55.7,,,
2.0,2.25,54.9,,,
2.0,2.5,94.8,,,
2.0,2.75,92.4,,,
2.0,3,81.3,,,
2.0,3.25,86.2,,,
2.0,3.5,60.5,,,
2.0,3.75,40.2,,,
2.0,4,54.1,,,
2.0,4.25,42.5,,,
2.0,4.5,59.9,,,
2.0,4.75,43.0,,,
2.0,5,55.5,,,
2.0,5.25,41.4,,,
2.0,5.5,43.2,,,
2.25,0.75,0.0,,,
2.25,1.0,44.0,,,
2.25,1.25,40.0,,,
2.25,1.5,0.0,,,
2.25,1.75,30.2,,,
2.25,2,0.0,,,
2.25,2.25,32.0,,,
2.25,2.5,0.0,,,
2.25,2.75,0.0,,,
2.25,3,0.0,,,
2.25,3.25,0.0,,,
2.25,3.5,0.0,,,
2.25,3.75,0.0,,,
2.25,4,0.0,,,
2.25,4.25,25.2,,,
2.25,4.5,0.0,,,
2.25,4.75,0.0,,,
2.25,5,0.0,,,
2.25,5.25,35.0,,,
2.25,5.5,0.0,,,
